title,author,year,publication
S3VAADA: Submodular Subset Selection for Virtual Adversarial Active Domain Adaptation,"Rangwani Harsh , Jain Arihant , Aithal Sumukh K , Babu R. Venkatesh",2021,ICCV2021
Cross-Sentence Temporal and Semantic Relations in Video Activity Localisation,"Huang Jiabo , Liu Yang , Gong Shaogang , Jin Hailin",2021,ICCV2021
StructDepth: Leveraging the Structural Regularities for Self-Supervised Indoor Depth Estimation,"Li Boying , Huang Yuan , Liu Zeyu , Zou Danping , Yu Wenxian",2021,ICCV2021
Feature Interactive Representation for Point Cloud Registration,"Wu Bingli , Ma Jie , Chen Gaojie , An Pei",2021,ICCV2021
Walk in the Cloud: Learning Curves for Point Clouds Shape Analysis,"Xiang Tiange , Zhang Chaoyi , Song Yang , Yu Jianhui , Cai Weidong",2021,ICCV2021
LSG-CPD: Coherent Point Drift With Local Surface Geometry for Point Cloud Registration,"Liu Weixiao , Wu Hongtao , Chirikjian Gregory S.",2021,ICCV2021
ISD: Self-Supervised Learning by Iterative Similarity Distillation,"Tejankar Ajinkya , Koohpayegani Soroush Abbasi , Pillai Vipin , Favaro Paolo , Pirsiavash Hamed",2021,ICCV2021
An Empirical Study of the Collapsing Problem in Semi-Supervised 2D Human Pose Estimation,"Xie Rongchang , Wang Chunyu , Zeng Wenjun , Wang Yizhou",2021,ICCV2021
Self-Supervised Neural Networks for Spectral Snapshot Compressive Imaging,"Meng Ziyi , Yu Zhenming , Xu Kun , Yuan Xin",2021,ICCV2021
Group-Aware Contrastive Regression for Action Quality Assessment,"Yu Xumin , Rao Yongming , Zhao Wenliang , Lu Jiwen , Zhou Jie",2021,ICCV2021
The Road To Know-Where: An Object-and-Room Informed Sequential BERT for Indoor Vision-Language Navigation,"Qi Yuankai , Pan Zizheng , Hong Yicong , Yang Ming-Hsuan , van den Hengel Anton , Wu Qi",2021,ICCV2021
Support-Set Based Cross-Supervision for Video Grounding,"Ding Xinpeng , Wang Nannan , Zhang Shiwei , Cheng De , Li Xiaomeng , Huang Ziyuan , Tang Mingqian , Gao Xinbo",2021,ICCV2021
