title,author,year,publication,citation
Group-Aware Contrastive Regression for Action Quality Assessment,"Yu Xumin , Rao Yongming , Zhao Wenliang , Lu Jiwen , Zhou Jie",2021,ICCV2021,0
The Road To Know-Where: An Object-and-Room Informed Sequential BERT for Indoor Vision-Language Navigation,"Qi Yuankai , Pan Zizheng , Hong Yicong , Yang Ming-Hsuan , van den Hengel Anton , Wu Qi",2021,ICCV2021,0
Support-Set Based Cross-Supervision for Video Grounding,"Ding Xinpeng , Wang Nannan , Zhang Shiwei , Cheng De , Li Xiaomeng , Huang Ziyuan , Tang Mingqian , Gao Xinbo",2021,ICCV2021,9
Sampling Network Guided Cross-Entropy Method for Unsupervised Point Cloud Registration,"Jiang Haobo , Shen Yaqi , Xie Jin , Li Jun , Qian Jianjun , Yang Jian",2021,ICCV2021,13
Voxel-Based Network for Shape Completion by Leveraging Edge Generation,"Wang Xiaogang , Ang Marcelo H , Lee Gim Hee",2021,ICCV2021,0
THUNDR: Transformer-Based 3D Human Reconstruction With Markers,"Zanfir Mihai , Zanfir Andrei , Bazavan Eduard Gabriel , Freeman William T. , Sukthankar Rahul , Sminchisescu Cristian",2021,ICCV2021,28
OadTR: Online Action Detection With Transformers,"Wang Xiang , Zhang Shiwei , Qing Zhiwu , Shao Yuanjie , Zuo Zhengrong , Gao Changxin , Sang Nong",2021,ICCV2021,34
Instance-Level Image Retrieval Using Reranking Transformers,"Tan Fuwen , Yuan Jiangbo , Ordonez Vicente",2021,ICCV2021,33
Mutual-Complementing Framework for Nuclei Detection and Segmentation in Pathology Image,"Feng Zunlei , Wang Zhonghua , Wang Xinchao , Mao Yining , Li Thomas , Lei Jie , Wang Yuexuan , Song Mingli",2021,ICCV2021,0
Accelerating Atmospheric Turbulence Simulation via Learned Phase-to-Space Transform,"Mao Zhiyuan , Chimitt Nicholas , Chan Stanley H.",2021,ICCV2021,20
Graph Constrained Data Representation Learning for Human Motion Segmentation,"Dimiccoli Mariella , Garrido Llu{\'\i}s , Rodriguez-Corominas Guillem , Wendt Herwig",2021,ICCV2021,1
Spatial and Semantic Consistency Regularizations for Pedestrian Attribute Recognition,"Jia Jian , Chen Xiaotang , Huang Kaiqi",2021,ICCV2021,17
Learning To Stylize Novel Views,"Huang Hsin-Ping , Tseng Hung-Yu , Saini Saurabh , Singh Maneesh , Yang Ming-Hsuan",2021,ICCV2021,18
Morphable Detector for Object Detection on Demand,"Zhao Xiangyun , Zou Xu , Wu Ying",2021,ICCV2021,0
Stacked Homography Transformations for Multi-View Pedestrian Detection,"Song Liangchen , Wu Jialian , Yang Ming , Zhang Qian , Li Yuan , Yuan Junsong",2021,ICCV2021,1
Env-QA: A Video Question Answering Benchmark for Comprehensive Understanding of Dynamic Environments,"Gao Difei , Wang Ruiping , Bai Ziyi , Chen Xilin",2021,ICCV2021,0
Region-Aware Contrastive Learning for Semantic Segmentation,"Hu Hanzhe , Cui Jinshi , Wang Liwei",2021,ICCV2021,41
Image Retrieval on Real-Life Images With Pre-Trained Vision-and-Language Models,"Liu Zheyuan , Rodriguez-Opazo Cristian , Teney Damien , Gould Stephen",2021,ICCV2021,0
