title,author,year,publication,citation
Bridge-Prompt: Towards Ordinal Action Understanding in Instructional Videos,"Li Muheng , Chen Lei , Duan Yueqi , Hu Zhilan , Feng Jianjiang , Zhou Jie , Lu Jiwen",2022,CVPR2022,11
SimMatch: Semi-Supervised Learning With Similarity Matching,"Zheng Mingkai , You Shan , Huang Lang , Wang Fei , Qian Chen , Xu Chang",2022,CVPR2022,30
OrphicX: A Causality-Inspired Latent Variable Model for Interpreting Graph Neural Networks,"Lin Wanyu , Lan Hao , Wang Hao , Li Baochun",2022,CVPR2022,11
HandOccNet: Occlusion-Robust 3D Hand Mesh Estimation Network,"Park JoonKyu , Oh Yeonguk , Moon Gyeongsik , Choi Hongsuk , Lee Kyoung Mu",2022,CVPR2022,12
EfficientNeRF  Efficient Neural Radiance Fields,"Hu Tao , Liu Shu , Chen Yilun , Shen Tiancheng , Jia Jiaya",2022,CVPR2022,0
Quantifying Societal Bias Amplification in Image Captioning,"Hirota Yusuke , Nakashima Yuta , Garcia Noa",2022,CVPR2022,0
Modular Action Concept Grounding in Semantic Video Prediction,"Yu Wei , Chen Wenxin , Yin Songheng , Easterbrook Steve , Garg Animesh",2022,CVPR2022,4
StyleSwin: Transformer-Based GAN for High-Resolution Image Generation,"Zhang Bowen , Gu Shuyang , Zhang Bo , Bao Jianmin , Chen Dong , Wen Fang , Wang Yong , Guo Baining",2022,CVPR2022,4
Reinforced Structured State-Evolution for Vision-Language Navigation,"Chen Jinyu , Gao Chen , Meng Erli , Zhang Qiong , Liu Si",2022,CVPR2022,7
Sub-Word Level Lip Reading With Visual Attention,"Prajwal K R , Afouras Triantafyllos , Zisserman Andrew",2022,CVPR2022,23
Weakly Supervised High-Fidelity Clothing Model Generation,"Feng Ruili , Ma Cheng , Shen Chengji , Gao Xin , Liu Zhenjiang , Li Xiaobo , Ou Kairi , Zhao Deli , Zha Zheng-Jun",2022,CVPR2022,0
Highly-Efficient Incomplete Large-Scale Multi-View Clustering With Consensus Bipartite Graph,"Wang Siwei , Liu Xinwang , Liu Li , Tu Wenxuan , Zhu Xinzhong , Liu Jiyuan , Zhou Sihang , Zhu En",2022,CVPR2022,13
Towards Principled Disentanglement for Domain Generalization,"Zhang Hanlin , Zhang Yi-Fan , Liu Weiyang , Weller Adrian , Sch\""olkopf Bernhard , Xing Eric P.",2022,CVPR2022,25
Discrete Cosine Transform Network for Guided Depth Map Super-Resolution,"Zhao Zixiang , Zhang Jiangshe , Xu Shuang , Lin Zudi , Pfister Hanspeter",2022,CVPR2022,16
"Cerberus Transformer: Joint Semantic, Affordance and Attribute Parsing","Chen Xiaoxue , Liu Tianyu , Zhao Hao , Zhou Guyue , Zhang Ya-Qin",2022,CVPR2022,0
E2V-SDE: From Asynchronous Events to Fast and Continuous Video Reconstruction via Neural Stochastic Differential Equations,"Kim Jongwan , Lee DongJin , Na Byunggook , Park Seongsik , Yoon Sungroh",2022,CVPR2022,0
CoSSL: Co-Learning of Representation and Classifier for Imbalanced Semi-Supervised Learning,"Fan Yue , Dai Dengxin , Kukleva Anna , Schiele Bernt",2022,CVPR2022,0
Discovering Objects That Can Move,"Bao Zhipeng , Tokmakov Pavel , Jabri Allan , Wang Yu-Xiong , Gaidon Adrien , Hebert Martial",2022,CVPR2022,14
Knowledge Mining With Scene Text for Fine-Grained Recognition,"Wang Hao , Liao Junchao , Cheng Tianheng , Gao Zewen , Liu Hao , Ren Bo , Bai Xiang , Liu Wenyu",2022,CVPR2022,0
Self-Supervised Learning of Object Parts for Semantic Segmentation,"Ziegler Adrian , Asano Yuki M.",2022,CVPR2022,0
Iterative Corresponding Geometry: Fusing Region and Depth for Highly Efficient 3D Tracking of Textureless Objects,"Stoiber Manuel , Sundermeyer Martin , Triebel Rudolph",2022,CVPR2022,8
Single-Photon Structured Light,"Sundar Varun , Ma Sizhuo , Sankaranarayanan Aswin C. , Gupta Mohit",2022,CVPR2022,0
Deblurring via Stochastic Refinement,"Whang Jay , Delbracio Mauricio , Talebi Hossein , Saharia Chitwan , Dimakis Alex,ros G. , Milanfar Peyman",2022,CVPR2022,56
3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds,"Cai Daigang , Zhao Lichen , Zhang Jing , Sheng Lu , Xu Dong",2022,CVPR2022,0
TransGeo: Transformer Is All You Need for Cross-View Image Geo-Localization,"Zhu Sijie , Shah Mubarak , Chen Chen",2022,CVPR2022,0
R(Det)2: Randomized Decision Routing for Object Detection,"Li Yali , Wang Shengjin",2022,CVPR2022,2
Abandoning the Bayer-Filter To See in the Dark,"Dong Xingbo , Xu Wanyan , Miao Zhihui , Ma Lan , Zhang Chao , Yang Jiewen , Jin Zhe , Teoh Andrew Beng Jin , Shen Jiajun",2022,CVPR2022,0
SASIC: Stereo Image Compression With Latent Shifts and Stereo Attention,"W\""odlinger Matthias , Kotera Jan , Xu Jan , Sablatnig Robert",2022,CVPR2022,3
